Nombre de la Sede;Ciudad/Municipio;ALIADO;País;Dirección de correspondencia corporativa (Oficina);Correo Electrónico;Departamento;;;;;;;;;;;;;;
CULTIVARTE ANSERMA;ANSERMA;ALCALDÍA DE ANSERMA;COLOMBIA;Cra 4 número 8-15 centro;anserma@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE NEIRA;NEIRA;ALCALDÍA DE NEIRA;COLOMBIA;Calle 9 carre 9 esquina;neira@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE RIOSUCIO;RIOSUCIO;ALCALDÍA DE RIOSUCIO;COLOMBIA;Cra 7 N° 6 - 45 Teatro Cuesta;riosucio@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE RISARALDA;RISARALDA;ALCALDÍA DE RISARALDA;COLOMBIA;Cra 3 N° 7-12, parque principal frente a la parroquia;risaralda@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE MANZANARES;MANZANARES;ALCALDÍA DE MANZANARES;COLOMBIA;Cra 4 numero 5-60;manzanares@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE SALAMINA;SALAMINA;ALCALDÍA DE SALAMINA;COLOMBIA;Cra  5 N° 3-34;salamina@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE CHINCHINA;CHINCHINA;ALCALDÍA DE CHINCHINÁ;COLOMBIA;Calle 16 bis entre Cras septima y octava, barrio la paz;chinchina@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE PACORA;PACORA;ALCALDÍA DE PÁCORA;COLOMBIA;Cra 2 - Calle 13 casa del deporte;pacora@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE PENSILVANIA;PENSILVANIA;ALCALDÍA DE PENSILVANIA;COLOMBIA;Calle 6 N° 5-46 Fondo Biblioteca Municipal;pensilvania@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE FILADELFIA;FILADELFIA;ALCALDÍA DE FILADELFIA;COLOMBIA;Calle 6 Cra 6 esquina;filadelfia@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE VILLAMARIA;VILLAMARIA;ALCALDÍA DE VILLAMARÍA;COLOMBIA;Cra 19 Calle 7 Barrio la Floresta Antigua Escuela la Noruega;villamaria@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE BELEN DE UMBRIA;BELEN DE UMBRIA;ALCALDÍA DE BELÉN DE UMBRÍA;COLOMBIA;Cra 10 No 3-69. Sótano Casa de la Cultura;belendeumbria@fcultivarte.org;RISARALDA;;;;;;;;;;;;;;
CULTIVARTE LA VIRGINIA;LA VIRGINIA;ALCALDÍA DE LA VIRGINIA;COLOMBIA;Calle 15 No 8C-00 Barrio Obrero- Casa de la Cultura;lavirginia@fcultivarte.org;RISARALDA;;;;;;;;;;;;;;
CULTIVARTE EL CAIRO;EL CAIRO;ALCALDÍA DE EL CAIRO;COLOMBIA;Cra 9 N° 4-30;elcairo@fcultivarte.org;VALLE;;;;;;;;;;;;;;
CULTIVARTE LA TEBAIDA;LA TEBAIDA;ALCALDÍA DE LA TEBAIDA;COLOMBIA;Cra  10 con Calle 8 y museo del quindio;latebaida@fcultivarte.org;QUINDIO;;;;;;;;;;;;;;
CULTIVARTE CAICEDONIA;CAICEDONIA;ALCALDÍA DE CAICEDONIA;COLOMBIA;Cra 10 N° 15- 61 Barrio Obrero;caicedonia@fcultivarte.org;VALLE;;;;;;;;;;;;;;
CULTIVARTE SEVILLA;SEVILLA;ALCALDÍA DE SEVILLA;COLOMBIA;Cra  47 No. 52-31;sevilla@fcultivarte.org;VALLE;;;;;;;;;;;;;;
CULTIVARTE CALARCA;CALARCA;ALCALDÍA DE CALARCÁ;COLOMBIA;Cra 25 N°46-25;calarca@fcultivarte.org;QUINDIO;;;;;;;;;;;;;;
CULTIVARTE MONTENEGRO;MONTENEGRO;ALCALDÍA DE MONTENEGRO;COLOMBIA;Cra 4 N°7-20 Barrio Nariño;montenegro@fcultivarte.org;QUINDIO;;;;;;;;;;;;;;
CULTIVARTE ARMENIA;ARMENIA;ALCALDÍA DE ARMENIA;COLOMBIA;Ciudadela Chilacoa Etapa 2 Cra  50 Calle 53 Salon social;armenia@fcultivarte.org;QUINDIO;;;;;;;;;;;;;;
CULTIVARTE OBANDO;OBANDO;ALCALDÍA DE OBANDO;COLOMBIA;Calle 4 N° 2- 66;obando@fcultivarte.org;VALLE;;;;;;;;;;;;;;
CULTIVARTE JAMUNDI;JAMUNDI;ALCALDÍA DE JAMUNDÍ;COLOMBIA;Calle 10 N°11-40;jamundi@fcultivarte.org;VALLE;;;;;;;;;;;;;;
CULTIVARTE LA UNION;LA UNIÓN;ALCALDÍA DE LA UNIÓN;COLOMBIA;Calle 15 con Cra 10 esquina / Barrio Belén;launion@fcultivarte.org;VALLE;;;;;;;;;;;;;;
CULTIVARTE CHIQUINQUIRA;CHIQUINQUIRA;ALCALDÍA DE CHIQUINQUIRÁ;COLOMBIA;Cra 7 No. 21a - 24 Antigua Estación del Ferrocarril;chiquinquira@fcultivarte.org;BOYACA;;;;;;;;;;;;;;
CULTIVARTE NOBSA;NOBSA;ALCALDÍA DE NOBSA;COLOMBIA;Cra 1 # 6-79 Barrio Nazareth;nobsa@fcultivarte.org;BOYACA;;;;;;;;;;;;;;
CULTIVARTE SOGAMOSO;SOGAMOSO;ALCALDÍA DE SOGAMOSO;COLOMBIA;Calle 5 Cra 23 Esquina Barrio Villa del Sol;sogamoso@fcultivarte.org;BOYACA;;;;;;;;;;;;;;
CULTIVARTE DUITAMA;DUITAMA;ALCALDÍA DE DUITAMA;COLOMBIA;Cra 20 Calle 15-100;duitama@fcultivarte.org;BOYACA;;;;;;;;;;;;;;
CULTIVARTE ESPINAL;ESPINAL;ALCALDÍA DE ESPINAL;COLOMBIA;Antigua Estación Férrea Del Corregimiento Chicoral, Calle 5 Cra 3;espinal@fcultivarte.org;TOLIMA;;;;;;;;;;;;;;
CULTIVARTE MARIQUITA;MARIQUITA;ALCALDÍA DE MARIQUITA;COLOMBIA;Calle 1 entre Cras 5 y 6 sector Humatepa;mariquita@fcultivarte.org;TOLIMA;;;;;;;;;;;;;;
CULTIVARTE LIBANO;LIBANO;ALCALDÍA DE LÍBANO;COLOMBIA;Cra 9 No.4-83 Piso 2 Edificio punto vive digital;libano@fcultivarte.org;TOLIMA;;;;;;;;;;;;;;
CULTIVARTE FRESNO;FRESNO;ALCALDÍA DE FRESNO;COLOMBIA;Calle 4 N 3-48 antigua piscina municipal;fresno@fcultivarte.org;TOLIMA;;;;;;;;;;;;;;
CULTIVARTE MELGAR;MELGAR;ALCALDÍA DE MELGAR;COLOMBIA;Vereda Calcuta via Iconozco km 16 -Melgar;melgar@fcultivarte.org;TOLIMA;;;;;;;;;;;;;;
CULTIVARTE LA DORADA;LA DORADA;ALCALDÍA DE LA DORADA;COLOMBIA;Cra  4 Calle 47 esquina centro de convivencia, las ferias;ladorada@fcultivarte.org;CALDAS;;;;;;;;;;;;;;
CULTIVARTE GARZON;GARZON;ALCALDÍA DE GARZÓN;COLOMBIA;Cra 8  N°8 - 36;garzon@fcultivarte.org;HUILA;;;;;;;;;;;;;;
CULTIVARTE LA PLATA;LA PLATA;ALCALDÍA DE LA PLATA;COLOMBIA;Calle 2 sur entre Cra 4 y 5 Esquina Casa de la Cultura;laplata@fcultivarte.org;HUILA;;;;;;;;;;;;;;
CULTIVARTE TUMACO;SAN ANDRES DE TUMACO;ALCALDIA DE TUMACO;COLOMBIA;Calle 13 Cra 11 Calle Bolivar Casa de la Cultura 1 piso;tumaco@fcultivarte.org;NARIÑO;;;;;;;;;;;;;;
CULTIVARTE GRANADA;GRANADA;ALCALDÍA DE GRANADA;COLOMBIA;Cra 13 N° 25-35 Biblioteca Municipal de Granada;granada@fcultivarte.org;META;;;;;;;;;;;;;;
CULTIVARTE TAURAMENA;TAURAMENA;ALCALDÍA DE TAURAMENA;COLOMBIA;Calle 5 No. 14 – 74 . Centro;tauramena@fcultivarte.org;CASANARE;;;;;;;;;;;;;;
CULTIVARTE AGUAZUL;AGUAZUL;ALCALDÍA DE AGUAZUL;COLOMBIA;Cra 21 N°12-03;aguazul@fcultivarte.org;CASANARE;;;;;;;;;;;;;;
CULTIVARTE BARANOA;BARANOA;ALCALDÍA DE BARANOA;COLOMBIA;Calle 16 N°17a03;baranoa@fcultivarte.org;ATLANTICO;;;;;;;;;;;;;;
CULTIVARTE GALAPA;GALAPA;ALCALDÍA DE GALAPA;COLOMBIA;Cra 12 N° 9-37;galapa@fcultivarte.org;ATLANTICO;;;;;;;;;;;;;;
CULTIVARTE CODAZZI;AGUSTIN CODAZZI;ALCALDÍA DE AGUSTIN CODAZZI;COLOMBIA;Cara 14B N° 10-24 Plaza Primero de Mayo;codazzi@fcultivarte.org;CESAR;;;;;;;;;;;;;;
CULTIVARTE SINCELEJO;SINCELEJO;ALCALDÍA DE SINCELEJO;COLOMBIA;Cra  18b N° 46-106;sincelejo@fcultivarte.org;SUCRE;;;;;;;;;;;;;;
CULTIVARTE VILLANUEVA;VILLANUEVA;ALCALDÍA DE VILLANUEVA;COLOMBIA;Calle 12 Cra 13 esquina;villanueva@fcultivarte.org;LA GUAJIRA;;;;;;;;;;;;;;
CULTIVARTE CERETE;CERETE;ALCALDÍA DE CERETÉ;COLOMBIA;Cra 20 N° 16E - 89, B/ Acacias;cerete@fcultivarte.org;CORDOBA;;;;;;;;;;;;;;
CULTIVARTE ARACATACA;ARACATACA;ALCALDÍA DE ARACATACA;COLOMBIA;Calle 6 N° 485;aracataca@fcultivarte.org;MAGDALENA;;;;;;;;;;;;;;
CULTIVARTE ARAUCA;ARAUCA;ALCALDÍA DE ARAUCA;COLOMBIA;Calle 21 N° 11 - 35, Barrio Las Américas;arauca@fcultivarte.org;ARAUCA;;;;;;;;;;;;;;
CULTIVARTE SARAVENA;SARAVENA;COLEGIO RAFAEL POMBO;COLOMBIA;Calle 34 N° 12 - 40 La esperanza;saravena@fcultivarte.org;ARAUCA;;;;;;;;;;;;;;
CULTIVARTE PAMPLONA;PAMPLONA;ALCALDÍA DE PAMPLONA;COLOMBIA;Centro Cultural Ramon Gonzales Valencia Calle 7 N 5-52;pamplona@fcultivarte.org;NORTE DE SANTANDER;;;;;;;;;;;;;;
CULTIVARTE SAN GIL;SAN GIL;ALCALDÍA DE SAN GIL;COLOMBIA;Calle 22N°9-32 Centro de Convivencia;sangil@fcultivarte.org;SANTANDER;;;;;;;;;;;;;;
CULTIVARTE BARRANCABERMEJA;BARRANCABERMEJA;ALCALDÍA DE BARRANCABERMEJA;COLOMBIA;Colegio Ciudadela Educativa del magdalena medio Cra 62 N° 48d - 10 Entrada Barrio pablo acuña;barrancabermeja@fcultivarte.org;SANTANDER;;;;;;;;;;;;;;
CULTIVARTE RIONEGRO SDER;RIONEGRO;ALCALDÍA DE RIONEGRO SDER;COLOMBIA;Calle 9 N° 7-114 Barrio Alamo;rionegrosder@fcultivarte.org;SANTANDER;;;;;;;;;;;;;;
CULTIVARTE SAN VICENTE DE CHUCURI;SAN VICENTE DE CHUCURI;ALCALDÍA DE SAN VICENTE DE CHUCURÍ;COLOMBIA;Cra 10 N° 6-70;vicentechucuri@fcultivarte.org;SANTANDER;;;;;;;;;;;;;;
CULTIVARTE TEGUCIGALPA;TEGUCIGALPA;;HONDURAS;Barrio El Centro Av Jerez, Detrás De Agencia Davivienda Plaza Morazán;tegucigalpa@fcultivarte.org;HONDURAS ;;;;;;;;;;;;;;
CULTIVARTE NACAOME;NACAOME;;HONDURAS;Barrio El Centro Contiguo A Agencia Davivienda Nacaome, Frente A Alcaldía Municipal;nacaome@fcultivarte.org;HONDURAS ;;;;;;;;;;;;;;
CULTIVARTE GUACIMO;GUACIMO;;COSTA RICA;De La Entrada Principal A Guácimo, Limón, 600 M Norte Y 25 M Oeste.;guacimo@fcultivarte.org;COSTA RICA ;;;;;;;;;;;;;;
CULTIVARTE ALAJUELA;ALAJUELA;;COSTA RICA;Diagonal A La Iglesia Católica De Barrio Santa Rita, En Barrio San José De Alajuela;alajuela@fcultivarte.org;COSTA RICA ;;;;;;;;;;;;;;
CULTIVARTE SANTA TECLA;SANTA TECLA;;EL SALVADOR;Calle La Sabana Y Ave. D, Colonia Jardines De La Sabana, Santa Tecla, La Libertad. Contiguo Al Centro Escolar Jardines De La Sabana Y Parque Los Lobos.;santatecla@fcultivarte.org;EL SALVADOR;;;;;;;;;;;;;;
CULTIVARTE CURUNDU;CURUNDÚ;;PANAMA;Calle Maria Reina Al Final, Diagonal A Rotonda, Edificio Biblioteca Noris Correa De Sanjur;curundu@fcultivarte.org;PANAMA;;;;;;;;;;;;;;
CULTIVARTE FAMILIA - CANDELARIA;CANDELARIA;ALCALDÍA DE CANDELARIA;COLOMBIA;Ciudadela Victoria: Cra. 13 # 17-125, La Gorgona, Candelaria;candelaria@fcultivarte.org;VALLE;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
